"prol_id","choice","fr_why_first_over_second","fr_why_second_over_third","coder"
"5dd31aef0f8d5133418c82a5","pf","First-come, first serve can go super fast and some business may have the upper hand in locating these resources and applying (ie. younger business owner, more inclined to technology, new places like trendier spots could be turning a profit against the older counterparts). I think assessing damage, long-standing ties in the community and minority owned businesses helps give leverage to those who wouldn't have it.","I don't like lottery based simply on random chances, at least with first come, first served, there's an order to it.","X"
"5fdb9e19a4feb001e7bc5ecc","pl","I think that damage should be taken into consideration.","First-come first-served has a higher ability to put more businesses at a disadvantage","X"
"5ddafb0f2e4a05a5ff7759c9","fp","according to their need who are moe desperate for help.","yes, lottery means luck / gamble which might not selected the one who really need most help.","X"
"5fe584d4cb429db7b79e6dd9","fp","The first comers always show and exhibit great deal of zeal and seriousness","Lottery is just luck, no merit involved","X"
"5f3b1897389f37825684326c","pf","I think that that business that are most affected by the pandemic need the support of the government,  because they lost their income and it's not their fault,  best example are restaurant and bars.","The lottery will provide business with support that they may not need it,  the financial support is a tax payer and it should go to people that deseve it.","X"
"5d33eba92fd5a40016e58abb","pf","In some cases businesses that really need it may not be aware of the first come first serve and might apply for it later and miss it so in all fairness I think a point system would be great","I can’t exactly say I would say it’s more so of a tie","X"
"5fb97d5abca3904f436dce46","lf","Randomly picking winners is the mostly fair and i believe no one is to blame but their luck.","Points system would have been great if racial minorities were not given a special here. Why? Covid-19 did hit the whole world and all races and not racial minorities took a hit, we all did. Giving them a special treatment i believe is not fair!","X"
"5f0632802b566a17e81a5f5f","fp","BECAUSE PEOPLE WHO ARE REALLY INTO THEIR BUSINESS WILL DO ANYTHING TO KEEP IT AFLOAT AND THEY WILL EVEN GO THE EXTRA MILE TO BE AT THE BANK EARLY.","BECAUSE A LOTTERY IS SO NOT FAIR BECAUSE IT IS HARD TO WIN ANYTHING.","X"
"5fda8f4d90a613718a9ad57e","fp","I think it's based on how urgent the needs of individuals concerned are. The governor ought to treat those as urgent.","Lottery system could go either way, to an individual business that needs it more or less. It's just not ideal enough.","X"
"5fe3d2e0adf3329091bb3f64","fp","Because everyone can benefit more from it.","Because it is more important than that","X"
"5ddf3b59b48da3e9ffc7e2d8","pl","It allows for businesses that have actually suffered losses due to covid, to get priority over businesses that have profited from it.","First come first served allows for those with the most resources and most connections to get their applications in first, and get priority over businesses who don't have connections to, say the trump family, and don't have advanced access to the forms and can't afford to hire accountants to fill out the forms for them. Those with the most need usually take a little longer to sort through the application process.","X"
"5fda9d7e39b731531f5227ff","fl","Although Lottery is quite cool but this is the case everybody needs it so think the government being fair enough first come served. If you really need it you will be there soon","I believe we use money to get money, you know everybody needs the help the government I think the government applying this lottery is cool it will above discrimination","X"
"5f99ffc73de0c0079c00bd00","fp","because it allows businesses who actually care about their company to show their interest by coming in first and applying before others for a grant or loan.","Because a lottery is just random","X"
"5c4768585799fa0001bed813","lp","It is only as fair as the government","Their can be good reasons that a business did not hear about the program at the same time","X"
"5bda54fbfdc9a9000172ae45","pl","This way helps prevent fraud from businesses that may have recently opened for the sole purpose to take advantage of the pandemic","It evens the playing field, so to speak.","X"
"5dcefcd0307b8d05031d7264","lf","The other methods can be abused by business owners.","The points system has the highest chance of being abused if business owners lie about the extent of damages.","X"
"5fd945c2ea1be443b3ada0c4","pl","Points takes factors into account rather than pure luck.","Because some businesses will have 'inside' information, and get to the front of the line unfairly.","X"
"5e3d8ef3b9b9e3043d928529","pl","I think a point system is more fair because it takes into consideration each stores unique circumstances and challenges. First-come first-serve likely disadvantage the least fortunate groups.","I think lottery is more fair because it gives everyone an equal shot.","X"
"5e4b0189cdf5a6011838a6a2","pl","I believe the point system takes in and analyses the most factors, making it the most fair method.","Everyone at least has an equal shot at getting help where first come/served is more of a race, which is ultimately aggravating and not really very fair.","X"
"5ecbe5e254cc883c02f52be8","lp","A lot of people are not aware of programs at first. So, first come first serve isn't  fair. I don't agree with the women owned preference for points.","A lot of people are not aware of programs at first. So, first come first serve isn't  fair.","X"
"5fc30af048608b152706877a","fl","It is more fair in my opinion because, it shows owners taking initiative. Honestly all small business that apply need to receive something if they qualify.","The points system is too easily manipulated.","X"
"5e79aa4d3dacaa56b56b4500","pl","I thought that the small businesses that had the most COVID-19 damage should be prioritized.","Because it is randomized and gives everyone a fair chance to be chosen, while any small business who had the extra time and resources to apply more immediately may be an indicator of how well they're doing.","X"
"5a7648faeea3d300016de063","pl","The purpose of the grant is to help the companies whose performances have been adversely affected by the COVID-19 Pandemic.","No. Lottery is neither a fair nor an intelligent way to distribute the grant. 
The affected companies must be sorted in the descending order of the magnitude of how much their performances have been affected. First-come, First-served in that order would be a fair way of awarding the grants. The lottery is never the right way. It defeats the very purpose of the grant.","X"
"5c3cd4368732a60001f8599a","pf","I think people who earned their way by a systematic way of doing their business by the rules,  deserves first attention.
","Well if they are the earlier ones who need or how badly do they need it should get their grants before others.","X"
"5966886dee2508000108b02c","lp","Everyone in a lottery has a fair shot. I think this could make it more fair like everyone has the same chance to win.","The points system helps to make it more just and equitable for minorities.","X"
"5b759c2fafacdf000167029c","pl","It sends the most help to the places with the most damage.","It could unfairly cause some to not get help because they were waiting to try to make it on their own.","X"
"5dd0952dade46216691820cc","pf","It is less random and more earned, more targeted. The businesses with more damage resulting from the pandemic deserve more help than those with less.  Also, businesses which are making attempts at equality regarding gender, race, etc. deserve a leg up.","It is too scatter-shot, too random.  Success for any business or individual should not depend on just blind luck.  Funds may end up going to those who do not really need it so much and leave out those desperately in need.","X"
"5f4a835e9e84256238129995","pf","I think that some businesses need more help than others. We should help the businesses with the most troubles first.","A lottery is least fair because it is all based on chance whether or not a business gets help.","X"
"5fc2c0cfdb80f9025c6b4810","fp","I think this is the most fair because people would have to be attentive and want to work to get help for themselves.","I think it is more fair than the lottery because women owned businesses are already at a disadvantage.","X"
"5f1dea279f4818757f07f087","lp","I believe when the businesses apply, there should be specific criteria on the application anyway. Once these are pooled together, a lottery would be more fair. First come first served, would allow anyone to have access to the funds who may not even need the funding.","A point system would allow certain criteria to adhered to in order for those who have more points to be serviced first.","X"
"5f96422e2d1b2050e89a2343","lp","I think it gives an equal chance to all those who reach out for help.","I don’t think first-come first-served isn’t fair either, but I do like the point-based system to award help to those who need it most, I do see the benefits of that method.","X"
"5e935ec0ba38620009a3b0d8","pl","Those who deserve it more should get it","Randomizes it completely so everyone has equal odds","X"
"5b9efb73d1ff7a00013bfe84","pl","You need to keep the money out of the hands of giant corporations.  They have teams of attorneys and lobbyists with their hands out always.","Because those with power will have the most information and will grab up the funds ASAP.","X"
"5f1ca7c9d3db3c11895ba1fa","pl","We should help the businesses that have received the most financial loss first.","There are a lot of faults that come with who can do the paperwork the quickest. Too many variables and obstacles.","X"
"5f4ee7650959f913daa64815","pf","Because with this system the most affected business due to the covid will rank most and will be compensated. It will make the process to be more fair than the rest.","First come first serve will be more fair than the lottery because businesses that are really affected with the Covid-19 will be swift with their application as they know what they are passing through. On the other hand using lottery will make the grant to be more of a luck than who needed it most.","X"
"5f05380a3963d08260da3fda","fp","This is the way that I've treated people in my life and I've been treated in the same style.","I am not a gambler so this procedure will not work for me. The lottery is a total gamble and I would never go in this direction.","X"
"5ea9827240571b08ad6a34d3","pf","This way, the businesses that do need the help will be way more likely to get that help.","Businesses are being rewarded for being aware of the government help and proactive in applying for aid, rather than having it be entirely random.","X"
"5e1a675ff122ed2e0709cfef","pl","Because not all businesses are the same with a point system those businesses that truly need the help can receive it based off the number of points they received (based on whatever that point scale is).","Just because you are quick to get your request in doesn't mean you are in need anymore than the business that took a bit longer - first come first serve is never fair in any situation.","X"
"5fe351df46872ef72e9ed4e7","pl","It seems to me that points based on need would be the most fair.","Everyone has the same chance","X"
"5eb074c7e612c1129942044c","lp","The qualifications for the lottery were stated to be eligible businesses.  This evens the distribution of aid and is fair in all fields.  When assigned points, bias, nepotism, allegiances and manipulation of facts can come into play.","The first come first served system sounds good but also I'm aware their are many factors that go into that as well such as access to information. Some people may be unaware. Speed differentiation of mail delivery in each county and state and internet access in each household. Also lets not forget about human nature.  Many business owners tried to fight it out without asking for aid until they couldn't fight anymore. Their access to aid is just as significant as those who applied from the onset.","X"
"5e9df5613feed4185ba408d2","pf","It accounts for other conditions that affect a business success. There is actual thought behind it and not just arbitrarily choosing.","Lottery is complete chance and could help businesses that are not struggling as much as others.","X"
"5850d667b64b9e00017cb722","pl","With the points system, the business that need it the most, gets the grant.","I think a random selection it not judgmental and doesn't discriminate.","X"
"5ea7b13e8ac6491a2050e619","pl","It actually considers WHY a business needs the money rather than randomly or if the business has TIME, energy and hears about the funding.","It would make it a matter of if a business owner as the time, energy and organization skills to do it if it was based on first-come first served. This way all would get a fighting chance.","X"
"5eb960c022781303ab1ca871","pl","There are a lot of different factors that factor into why a business should be getting the loan instead of the other. I think that appointment system would help identify the reasons why each business should be getting the money that they’re getting rather than a lottery were literally anyone could win.","I think that if it was first come first serve it would be a little bit more unfair because people don’t always have access to the latest and greatest things to put them on top of that list or to have access faster than other people. If that makes sense? I think that a general lottery would make it more fair in retrospect.","X"
"582b0cccce3a0e00010b324c","lp","A lottery makes no human 'judgments' or determinations about who is more deserving than others; eliminates any chance of favoritism.","First-come first-served could unfairly favor the businesses with the best administrative organizations rather than the businesses that actually need the assistance the most; there's no mandate to demonstrate a great amount of need, you just need to be fast.","X"
"5fad7ffa18e27b0ec4ded65e","lf","Because, some business might not have heard about the program in time for them to be one of the first companies to respond and they may need help the most","Just because a company has been around longer doesn't make it more important","X"
"5e5b044f52cf7730575d3dcd","pl","takes into account multiple factors","first in line could be someone who paid to get there","X"
"5ce718b96c7e0c0001ebee0b","fp","In fact, both first come, first served and the point system are fairer, as both study the most effective way for people to be served. 
","The point system is more effective than the lottery as it gives the opportunity to the minority and the most affected.","X"
"5fe28ce3cbe069e8749edaaa","lf","From my point of view I do not see it well that they choose who is going through difficult times","because the one who is first is the one who is attentive and I think that when you want something you have to go out and look for it","X"
"5c263f32867f660001ae1e29","pf","Because the point based system is the most honerable system.","It is to random.The people that got in early should have a better chance.","X"
"5f6f44e9451a3b0836b5d32c","lf","It is random. It eliminates any biases that may arise based on speed, or on race or tenure. it is pure chance everyone is weighted the same.","It does not rely on any biases other than those that are faster and decide to apply quickly are rewarded first. It does not rank anyone based on their race or tenure as a business.","X"
"5c6ce4094768130001474362","pl","because math is empirical evidence.  I like you using point is the best way to go.","Every one has the same odds of getting a chance for the points.","X"
"5edc81ee48cb0e95afe922b6","pl","I think it’s more fair in this instance because it’s tailored to those who need the most help and who’ve been the most affected by COVID.","I think first-come first-served is unfair in this particular situation because those people who were able to apply first might not necessarily be the ones who needed help the most.","X"
"5f49f3262a3d07563d14a7f1","fp","I think both systems have their merits but first-come, first-served seems like a practical way to provide businesses with help when they need it. It's more fair because hypothetically any small business could receive help, minorities included.","I think a lottery is least fair because it is completely random. It might not benefit businesses which are most in need of help.","X"
"5de96ccf7aeafe09d7e8a74a","pf","These businesses seem to have the most damage business wise. The point system would rate this based on the worst off instead of a business that could still be doing well and get relief when someone else is not doing as well would deserve it a lot more. This system keeps it more fair.","A lottery is just random and based on nothing tangible. The luck of the draw in theory could give out more relief to mostly people who aren’t in critical need as someone else with real problems.","X"
"5f2c4bf4e4f3080e6a469fcc","pl","It takes into account the fact that some business were hurt more by Covid-19 than others.  For example,sectors such as dining and tourism were affected severely compared to construction companies and manufacturing. Also, minority owned business on average suffered more damage than white owned businesses and this taken into account by the points system.","First come first served is least fair because it doesn't take into account the level of damage sustained by a business and it provides an advantage to companies that could respond the quickest to the application process. Smaller businesses and minority owned businesses are less likely to have a pre-existing relationship with a bank and are less likely to be adept at filing out the required forms.","X"
"5d3532fb6178c20018195407","lp","Because it will randomly select from a pool of entries. First come first serve rewards those who heard about it first.","Because FCFS style is based on the speed of information reaching people. Information is slow to spread and hearing about something first is not a fair way to dole out rewards.","X"
"5d47abcc2dc88900166f27c9","lf","Because the lottery is completely random","Because a points system favors certain businesses over others","X"
"5caeb61f1903d30016f1b410","pl","I think this is more fair because the people that aren't doing as well should get more help. To me, this is just common sense.","This is because it is random. First come first serve has nothing to do with how the business is doing and some people might not even be informed to know about it.","X"
"5d4f1741f20feb00190b6201","pl","It responds to a demonstrated need showing that COVID is a factor.","Some companies might not have the means or geographical range to be first.","X"
"5b566435d8348500012d2d65","pl","First come first served can be manipulated by the banks of government and many deserving businesses will not be served. A lottery may be the fairest way but in our city, women and minority-owned businesses get a break in the bidding process and I feel this system has worked well. Women-owned bus9inesses need extra help due to the historical fact that they struggle more than other businesses owned by men.","First come first served depends on how fast a business can get the request submitted and that doesn't relate at all to need. Many large businesses received the money the last time that should not have received anything. They were not actually struggling, they were larger businesses. Due to their size, they probably had the staff available to submit the request in a very timely manner.","X"
"5f31bbe840a5c90e5a9a7b68","pl","I think the points system is the most fair because it helps businesses owned by minorities who experience more discrimination than white owned businesses.","I think the first-come first-served is the least fair because it doesn't allow people the chance to get the help they need.  There are many minority owned businesses who may not know how to get the money and help they need so they would end up losing out in this type of system.","X"
"5fe7b11c60d5fb17c6b171e7","lp","I think the government should give randomly anyone that is lucky gets it because this period everyone needs assistance","I think it should be given to the one that needs it the most thats which there is main reason for given","X"
"5e83a35304f8a80a13ac590e","fl","If one needs assistance then one ought to apply for it ASAP","Because this is discrimination","X"
"5b7aefd06c1ccb000178b710","pf","The points system allows the governments to look at the criteria of the businesses such as if they are women-owned, have had a lot of COVID related damage to their business and if they have been established for some time. I think this is the most fair option because it gives struggling businesses a chance based on some merit rather than just being first to apply or randomly chosen.","Lottery chooses based on luck and randomness rather than need or action. At least with first-come, first serve, businesses can have a chance to get funding if they make sure to apply the first chance they can. It's not completely fair, but lottery is worse because there is no action the businesses can take to qualify.","X"
"5ee4b29de1640f1bc85da97b","lf","first served can be cheated by advance notice being given to some businesses so they can apply faster

points system is essentially discrimination","The points system is tantamount to discrimination","X"
"5d7cde267ec29c001af05507","pf","Because it depends on the damage the small business incurred caused by the COVID19 crisis. It is only fair to the business hardest hit by the pandemic.","Lottery is ignorant way as just odds on drawing a number. This has nothing to do what so ever with the causes of the pandemic.","X"
"5d8a64630ffb9c001746ca2c","lf","First come - first served is a fair way to do things, but it depends on how quickly somebody can apply and how skilled they are at doing it. A lottery gives people time to apply and the lottery is unbiased.","A point system is inherently unfair and I don't believe the claims of women being marginalized. I think its just another excuse to give some groups advantages they don't deserve.","X"
"5fc5369ea2d98d0008619133","pf","Because a points system would allow people who need help most to receive it first. It will help those who really need it the most.","lottery is least fair because it is random. The money should go to those who need it the most, and/or those who worked hardest to get it, ergo those who were first to apply for it.","X"
"5bb6413cb4dca50001df0096","pf","Because it takes into account the full picture of what is affecting the business- not just who applied first.","A lottery is literally just luck- and some people have no luck- it leaves out way too many who potentially need too much help.","X"
"5df040fa82b88c0a7c698dd8","pf","It allows the government to flow funds to the businesses that are suffering the most harm from covid","Random awards of help is the least effective way of helping small business and could end up sending money to a business that doesn't need help","X"
"5ea90a840928983752c88275","pl","Points based system will consider factors related to the business whereas the other two options are random and indifferent to the actual needs of the owners.","First-come is just a logistical procedure. It has nothing to do with the business or its needs.","X"
"58a202ac66e4640001c52bfd","pf","A points system allows more help to businesses that are disadvantaged like those who are more affected by covid and those run by women. Help should go to those who need it most. Points system allows for this allocation.","Lottery assumes all businesses are equal in their need and does not differentiate between them.  In our society, at minimum everything is first come first serve.  At minimum, we must use initiative and be awarded for initiative.","X"
"5d84e353a954540015f51437","lp","I just feel as though it seems more fair to everyone to have a drawing. I shouldn't matter how long you've been there. It takes a lot for anyone to open a small business. And  the lottery should take care of the discrimination problem as far as women go.","I think the first come first served just creates more stress and panic. It also doesn't alleviate the discrimination against women. They say first come,  first served, but would they still weed out the women owned businesses?","X"
"5cd6c1197b871a0001b13589","fp","because if they really need it they would go get it","because there is no regulations on it","X"
"5c2fa1bb89f0350001764f0b","pl","I don't think any of them are fair really. I think there should be a system that evaluates the needs of the businesses as a whole, whether they received money previously and how it was used, whether they're following COVID restrictions outlined in their state, etc. I think there should be other criteria. I think minority owned as a whole should be given consideration, but that doesn't mean non-minority owned businesses don't deserve financial help.","Because some businesses might not be made aware that there is available funds. I would say that would definitely be discriminatory to only say first come first serve, unless all businesses were notified and that was verified. But I don't know how you could do that in a fair way.","X"
"5f46e381abde430be466b887","pf","I think that process will determine the businesses that need help most.","Some companies that need help the most may be excluded.","X"
"5f4d74d575a8ad03d0519b1b","pf","The lottery system is playing a luck game so basically any businesses can apply and have a shot of the grant. First come first serve depends on the resources and the time that people are notified. The points system is the only ""fair"" method out of the 3 that can assure that small businesses who really needs the grant will get it.","The lottery is luck based. Nothing comes good out of lotteries.","X"
"5f08ba4192c3fb10d8fb4bb6","lp","I think the number of people needing help so far outweighs what the government is willing to do, that it is the only way to be fair","I think there are many people don't have the time and the means to be ""first"" in line due to circumstances surrounding their situation.  Someone with a small business may be a care giver at this time....just don't think there is a vehicle to ""submit"" applications in a manner that can sort out the first come first served to be sure they are really deserving","X"
"58cefdb030c4cf0001ceb3ac","pf","If designed properly, the points system would find the businesses that most need the money. It could be set up so that the businesses that provide a benefit to their communities and would have to close without support would get the support.","I don't really think either one is fair but a lottery would just give the money to any business that applies. With a first come - first served system, the business could still be turned down for help if they don't qualify. A lottery system makes it seem like anyone chosen gets the help, whether or not they need it.","X"
"5eeecdb7ea75141596f2defd","fp","I think it's only more fair than a points system because the points system gives points just for being a woman, which is pretty sexist.","The lottery system is just randomness, nothing fair about it. The least deserving could win and the most deserving could get nothing.","X"
"5fdf8ad43803bb7fdd7ea9cf","fp","As health care  systems are  overwhelmed with  more patients than they can feasibly treat, they are forced to  decide who  should get the Ethicists agree on who gets treated  first when  hospitals are “It's not fair to distribute scarce  resources in a way that minimizes  lives saved.”  Make  business better.","As health care  systems are  overwhelmed  with more patients  than they can feasibly treat, they are forced to decide  who should get the Ethicists agree on who gets treated first when  hospitals are  “It's not fair to distribute scarce resources  in a way that  minimizes lives  saved.”  Make business  better.","X"
"5fe0555515b59b8f153e80ea","lp","If it's random it more fair","Points are status marks showing you've earned something","X"
"5fa2502cc809e7419b400926","pf","This lets the government think critically of how they must be spending their money.","The lottery can give the funds to a business who needs it less. It is smart but not calculated enough.","X"
"5e15e63a4f40fbbd907aff1e","pl","We've all seen news stories about big businesses getting millions of dollars in assistance while the mom and pop business goes under due to a lack of $10,000.  I would give more points to the very small business with no fallback resources over the 3,000 person company that is just grabbing while the grabbing is good.","The first ones to apply may not be the most deserving - the smaller business may not be able to apply on the first day due to not hearing about the plan immediately, or needing advice/help on how to apply. Mom and pop can't keep a lawyer or accountant on hand who can understand the ins and outs of the government programs.","X"
"5e05ab290db892fcd8036b1a","lp","If the points system were based more on how much damage the business had experienced, and did not involve whether or not it was minority-owned,  or how long it had been in existence, I would have voted for the points system, but this lottery seemed fairer that the points system you described.","It is least fair because the business owners might not have understood or been aware of it, or have been too busy drowning in their business problems to have had time to be in the first 500 to apply.","X"
"5e0f69380fb798000a199566","lp","Because it is random chance who gets what.","Because just because you were first in line does not mean you need help the most.","X"
"5c83f2cb36f2450001c860ed","pf","This points-based system tries to help more those with higher losses , which is very correct.","The lottery system is not correct because it does not take into account any aspect related to that company.","X"
"5fe9f79b5602a1007743ae80","pf","BECAUSE THIS GIVES HELP TO THOSE THAT ACTUALLY NEED THE HELP, NOT JUST THE FIRST IN LINE","BECAUSE THERE IS NO ORDER TO IT","X"
"5f8f10ecc804f810a8a9cb80","pf","The key is that it considers COVID-19 damage to the business. The money should not be used to bail out a company that is failing for other reasons.","These are very close to me. If there are no barriers to applying, then a first-come, first-served approach is slightly more fair than a lottery in that it rewards business' efforts in helping themselves. If there ARE significant barriers, then a lottery may actually be more fair in my opinion.","X"
"5fe35b1930cadf7ccf821107","pl","A points system seems fairer because it focuses on the business that has been hit the hardest due to the pandemic rather than just being quick to apply or randomly winning.","First-come-first-served is the least fair because it rewards those who are able to fill the form quicker. Some business owners have to focus on their business and can't be the first ones to apply like those who have employees who can run the business while they apply.","X"
"5e4aa550ad8f2a0009adf84","pl","Just do. It allows  them to qualify.","Equal access and common availability","X"
"5e0c12d97bf57240daea3189","lp","there should be less chance of politicians to interfere and direct the money to their friends.","again less chance for politicians to interfere with the process by tipping off their friends to get in early.","X"
"5fc6bf0582ff63099b3f5317","pl","A lottery would be fair if all businesses were on equal footing to begin with or if all businesses were likely to be impacted by Covid to a similar to degree since that isn't the case using a points system helps even the playing field so that all businesses can be on more equal footing throughout the pandemic.","Lottery is more fair than first come first served because it's completely random and isn't biased toward people who may have more access to information about government programs or those who have more help filling out paperwork or meeting other requirements.","X"
"5f58fbdfd613220ce947d61a","pl","I think the point system shows a better scope of the need a business has.  This includes how much capital is at their disposal to help rebuild and if the owner is from any minority group that may have faced systemic racism.","First come first served could be tilted in favor of business with greater resources.  Larger businesses could have been altered to this program faster than small businesses and thus take revenue away from groups with a much higher need.","X"
"558a327cfdf99b2d75651681","pl","I think that a POINTS system is more fair as it takes into account some of the differences as to how a restaurant business may be more impacted than a retail business.   The POINTS system attempts to make fair and impartial decisions to help those sectors of small business that are most at risk.","I think that a first come first served is least fair as it sends a message to small business that you are not valued and only those businesses who can get their applications in first have a chance for relief.   If I was a small business and the process was first come first served, I would be very MAD at my local government for the way I was being treated.","X"
"5fced0cb79ee8b1a60ca9e7a","pl","It gives the money to the businesses with the most need","With only 500 businesses receiving relief, it would be unfair to offer help to those who are able to complete the application most quickly","X"
"5e22fce6db62ba5aec3e53b1","pf","If the business has been around for longer it deserves to be saved","First come first served is fair because it’s the people who got what they needed to get done and basics stood in line first. The lottery could bump long standing businesses or businesses that were there first out","X"
"5f75285712d5ca1a99723b3a","pf","Because it takes individual differences of business into account when deciding which businesses will get assistance first.","I don't think a lottery is fair. Those who need to most aid might have to wait the longest to get it.","X"
"5f8d33b7ec24b1000bf6709f","fl","This makes it look more about punctuality","this leaves it to chance and luck","X"
"5e2d96d3bc554937d1b3917a","pl","It is a better way to assess real needs of a business as it faces the pandemic.
First-come-first served is usless as larger businesses, businesses with law firms to prepare paperwork and even those with political influence will be first, and, there need may not be as great.
Lottery is radom, whereas points assigned will assess the actual need.","A lottery is more fair because radom chance gives the smaller businesses a better shot than the easily manipulated first-serve method.
I put more fairth in radom chance than in a system — first-come-first-served that puts the power in the hands of the businesses with more resources and more contacts among government officials.","X"
"5b189bdd44127b00013f9c7a","lp","I think it's more fair that first-com, first-served, because people often run into issues that can delay and prevent them from being first in line. People should not be punished if they don't have the luxury to be first in line.","The points system is a way to calculate genuine need and support those who are struggling more than others.","X"
"5f3b4e9c61c5b5864b78df00","lf","Because it gives everyone an equal chance, it's not based on who finds the information first.","beacause points seems confusing and people could theoretically pay for more points if they wanted to or rigged the system more than the other one.","X"
"5f5692d4f7035d0e0f491d28","pf","Because you have to filter out those who really need it to those who need it the less.","Yes lottery is least fair because those who are suffering and those who aren't suffering but were added to the lottery and they win is not fair.","X"
"5e61c57dc5c7450c344f2e82","pf","A points system specifically pinpoints businesses that are struggling the most and that face the most challenges. These businesses are most in need of aid.","A lottery is completely random and many individuals that need help the most will be passed over.","X"
"5f54db3b9fbb9685bca58052","pf","Because a lot of businesses can't be first because they aren't aware of the help and by the time they are made aware, it's too late to even apply. Word of mouth doesn't tend to reach minority owned businesses as quickly as other businesses and so they will still suffer loss.","Because it is such a gamble. Businesses who don't even have a need might get selected.","X"
"5bf190bbfb616800014fd571","fp","Because they are the first people that have applied. If others wait to apply they need to take their place.","I don't think you should leave it to chance. People need to get off their butts and recognize the fact that they need help instead of waiting for the last minute.","X"
