"response_id","points_rank","fcfs_rank","lottery_rank","fr_why_first_over_second","fr_why_second_over_third"
20,1,3,2,"These businesses are already disadvantaged and will be hit hardest.","Everyone needs help, and time is a commodity."
8,1,2,3,"Typically small businesses owned by people of color are more likely to undergo a financial crisis. Additionally, I believe that small businesses that have been operating for longer periods of time should receive help because many small businesses serve as pieces of history in communities. This seems to be more fair compared to the others.","The lottery seems the least fair because small businesses that desperately need financial assistance should not receive financial assistance on the basis of chance. Athough I also do not agree with first come first served, this method seems alittle more fair. The idea is that businesses that are expecting a financial crisis are more likely to apply first."
12,1,2,3,"the problem with FCFS is that it favors the fastest responders. But they are not necessarily more needy than slower responders. In fact, slower responders might in fact be more needy (they had to walk, or take a bus to submit their request, rather than call a cab or drive their Lexus).","it is the least fair because it depends simply on randomness--it does not consider real circumstances."
14,1,2,3,"This point I think it's pretty safe to say that the new lottery system turned out to be a, As for switching over to this system now that the event is expected to sell-out.","Well, we only have one year of first-come-first-serve to measure against that every one actually got the most fair result"
47,3,2,1,"Business’ can have their names added to the top of the list saying “Excuse me! I was here first!” AND they can  buy all points if they want because money!","Because who’s issuing these points and who’s saying they’re legit?!"
7,1,2,3,"The points system is more effective than first come, first served because it makes it makes it so that people who are in need of a grant more of a priority than the rest of the people applying. If the business owners are able to keep their businesses it keeps them employed  
which in turn stabilizes the economy & keeps America progressive.","I feel like people who are actively looking into
getting a grant to save their business should be more likely to receive the money available first rather than doing a lottery because by giving it to people randomly is not as fair as it would be if the grants were distributed to the people who are taking the initiative to do whatever they can to help themselves better their situation. I have been in many lotteries for housing & for years I was entered into so many different lotteties but could never obtain housing because due to the lotteties I would rank all different numbers in the pool. One time I finally ranked number 12 in a lottery that had 13 apartments available so I felt like I was definitely going to be moving into one of these apartments only to find myself stuck on the same waiting list for the next year & a half. Needless to say, I was very frustrated because I would constantly be putting in the time, effort, & dedication to fill out hundreds of applications only to be randomly ranked in different places due to the lottery & had it been based off of ""first come, first served"" I am confident that I would have been much more likely to obtain housing because I was taking the initiative to actively look for housing everyday. If you are dedicated to what you are trying to do I feel that is admirable & should be taken into consideration when dispersing any available grants."
18,1,3,2,"Because businesses that have been more damaged by the pandemic will receive the help.","because not everyone live in the same situation, the conditions in how they will register for the grant is different, maybe some people do not have access to internet in their houses.
"
28,1,3,2,"",""
1,1,2,3,"This system makes it possible to provide help for those, who need it the most. Some businesses didn’t face as serious problems as the others.","The lottery can cause giving money to businesses that don’t even need it that much, maybe they wouldn’t try to be the first. Lottery makes getting help needing less effort"
50,3,2,1,"It's a random system that includes all eligible businesses","The criteria are subjective and the system will be gamed by unscrupulous business owners and local bureaucrats to help out the firms with connections"
19,1,3,2,"Yes, the point system is good than others because it will more help t make right decision compare with other options.","Lottery is good cause in this way everybody can get chance instead of first come first serve"
31,2,1,3,"I think this because some people procrastinate and then still expect money to be available.","I think this because some people may not need the help as much as others. There is no way of judging this with the lottery."
23,1,3,2,"",""
16,1,3,2,"because many can ask for help but sometimes they really don't need it. Lottery is more a case of fortune and first come first served it's not fair at all","many factors can obstacle the timing of the request (technology, no internet connection, different time zone in the country...)"
38,2,3,1,"A lottery rules out any discrimination to either whites or blacks.  Everyone gets a equal chance regardless. Some who might have been in the top 500 might not ""win"" but others will also get a chance.","The first come- first serve completely overlooks any effort to make things equal."
49,3,2,1,"I think a lottery is most fair because it is randomly selected. A first-come, first-served and points based system have inherent biases to them. Specifically, the points system will prioritize businesses over others on account of characteristics like race, which I feel is unfair, even if the purpose is to help. Furthermore, if all the businesses are eligible in the first place, I feel as though a points based system to track damages and etc are redundant. The first-come, first-served business model is less random than a lottery, because it benefits those who have the privilege of knowing about the services first.","Points system categorizes businesses on account of characteristics such as race that will be inherently biased. Not all minority owned businesses need help, and not all white owned businesses don't need help, so it seems discriminatory to give money to people based on a preconceived notion rather than what they actually need."
44,3,1,2,"Businesses with the most need will apply more quickly.","I don't think that a points system could accurately depict need, but if it did, that's great."
3,1,2,3,"there is much less abuse this way","why would you want to do random"
48,3,2,1,"A lottery gives everyone equal time to apply.  A points system skews it to who the government wants to give money too.","Because its skewed to who the government wants to give the money too.  I don't think someone should be penalized because of there skin color."
40,2,3,1,"It is the most fair by virtue of its complete lack of distinction. No matter the characteristics of a business or business owner, each has an equal chance of being chosen.","I think that first-come first-served is less fair than a lottery, because it still places a preferential treatment upon those who come first, rather than having no preference at all. And I think that it is also less morally fair than a points system, which attempts to place value upon business characteristics."
29,1,3,2,"",""
21,1,3,2,"Not all businesses will be equally affected so it makes sense to use some type of system to assess which business could use the help more than another.","Just because some businesses are quicker to react to getting money doesn't necessarily mean they need it. Smaller businesses may need it more but may not be as informed as other larger businesses and have the ability to apply for it easily. So it would be more fair to do a lottery system, even though a lottery is not perfect either."
26,1,3,2,"",""
24,1,3,2,"",""
43,3,1,2,"I don't think that  lottery and a points system is good","I don't think points system is good"
41,2,3,1,"Lottery means there is no favoritism, no bureaucratic red tape nonsense just luck of the draw. Lottery levels the playing field.","Because a first come first serve allows the opportunity for people with inside knowledge or only a certain percentage that has optimal connectivity to information about opportunities like these to have access."
42,3,1,2,"It is more fair to use this method to give opportunities to serious minded entrepreneurs. One has to be very passionate about their business to act swiftly when the need for expansion arises","Points system takes away the texture of randomness from the system. It is better to pick randomly"
27,1,3,2,"",""
33,2,1,3,"I think first-come, first-serve is more fair because this shows that the business was responsible in acknowledging that their business needed help. One of the main reasons I did not chose a points system as the most fair way is because it was stated that the point system would help ""minorities"" over others, which is racist and unfair to other people who aren't considered minorities, but still might need help.","I think a lottery is least fair because it's not based on anything. A lottery is random and I do think we should prioritize businesses that need help over businesses that don't."
9,1,2,3,"In my opinion this system is more fair because its not a lottery","In my opinion this system is more fair because its not a lottery"
22,1,3,2,"Point system will justify helping one company more than another based on the damage received by covid. This helps bring up businesses equally leaving enough support for more business that wouldn't have necessarily received in the other options.","First come guarantees money to the first 500, which implies no matter how much damage you have from Covid you're still getting support. But companies that are past the 500 mark that may potentially have more damage than the first 500, will not receive the right help. Lottery is more fair because its random. Everyone has an equal chance."
25,1,3,2,"",""
5,1,2,3,"Points make it fair. It gives you a system to divide the need","Because if businesses want it bad enough, they will work to be one of the first. Lottery is just a guessing game."
