StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q134,method_fair,Q132,Q141,Q129,Q135,age,Q136,Q137,Q137_3_TEXT,Q138,Q139,Q140,MTurkCode,budget,money
2019-10-18 17:32:32,2019-10-18 17:35:27,IP Address,*******,100,175,True,2019-10-18 17:35:27,R_3Ic7q4tpHf0dfYo,*******,*******,*******,*******,*******,*******,anonymous,EN,All of the data would be fed into an algorithm and then they would be told who is the most likely to be benefited from the mentoring.,Yes it is fair,,It would give the most accurate info without bias,Somewhat fair,Not much.  They should let the school do what makes the most sense for them from a financial standpoint,49,High school diploma or GED,Male,,I have children and at least one is school-aged (3-18),Extremely Conservative,17545,12623,smaller budget,less
2019-10-18 17:32:58,2019-10-18 17:35:29,IP Address,*******,100,151,True,2019-10-18 17:35:30,R_2pKtYZU3g97jyHS,*******,*******,*******,*******,*******,*******,anonymous,EN," to use info to predict who is the most needing base ",No it is not fair,it not fair cause it hard to tell if they need ir or not,,Somewhat fair,i think they get to vote and see what model they want to use,24,Some college or 2-year college,Male,,I do not have children,Slightly conservative,42240,14861,smaller budget,less
2019-10-18 17:33:01,2019-10-18 17:35:46,IP Address,*******,100,164,True,2019-10-18 17:35:46,R_bpZQlr0rZ1jKa7D,*******,*******,*******,*******,*******,*******,anonymous,EN,It sounds like the school is trying their best to help students by analyzing all available data.,Yes it is fair,,It's historically proven.  They can also give counselors on an as-needed basis.,Somewhat fair,They shouldn't have a say.  The school should do what they think is best as long as it's supported by facts.,31,Graduate or professional school,Male,,I do not have children,Conservative,20009,17496,larger budget,more
2019-10-18 17:33:42,2019-10-18 17:35:52,IP Address,*******,100,129,True,2019-10-18 17:35:52,R_2uUqrcUKE9usKkW,*******,*******,*******,*******,*******,*******,anonymous,EN,we want your opinion about how the school should decide which students get mentors with the smaller budget.,Yes it is fair,,"a predictive model would use a large amount of data about students--their past years' attendance; their parent's income; how far they live from school--to predict which students will miss a lot of school. ",Somewhat fair,"a predictive model would use a large amount of data about students--their past years' attendance; their parent's income; how far they live from school--to predict which students will miss a lot of school. ",31,4-year college degree,Male,,I do not have children,Slightly liberal,43026,12258,smaller budget,less
2019-10-18 17:31:22,2019-10-18 17:35:54,IP Address,*******,100,272,True,2019-10-18 17:35:54,R_cU50juQt7bWglRT,*******,*******,*******,*******,*******,*******,anonymous,EN,GOOD SURVEY FEELING GOOD ONE.,Yes it is fair,,GOOD BEHAVE THINK.,Extremely fair,GOOD SURVEY.,30,4-year college degree,Male,,I have children and at least one is school-aged (3-18),Extremely liberal,10301,19572,larger budget,more
2019-10-18 17:29:27,2019-10-18 17:36:10,IP Address,*******,100,402,True,2019-10-18 17:36:10,R_31ovlX4pp4hbRHq,*******,*******,*******,*******,*******,*******,anonymous,EN,"There's a computer algorithm that will run the data for all of the students through some sort of program, and use the results that the algorithm generates to basically make a statistically informed guess as to which students are likely to miss a lot of school. ",Yes it is fair,,"I think using an algorithm that runs a predictive model is guaranteed to be free of bias, since the algorithm would be looking at the variables in a statistical sense, and not with any sort of human bias.",Extremely fair,"I think parents should get to share their opinions, and have those opinions listened to, though I also think the school district should share the reasoning behind their choice with the parents as well, and both groups should have an equal input as both are stakeholders in this process.",46,4-year college degree,Female,,I have children but none are school age (they're younger than 3 or older than 18),Extremely liberal,98661,13688,larger budget,more
2019-10-18 17:30:59,2019-10-18 17:36:20,IP Address,*******,100,320,True,2019-10-18 17:36:21,R_O1XOAvj8LiVglix,*******,*******,*******,*******,*******,*******,anonymous,EN,"The predictive model is an unbiased method in determining which students require mentors the most, and where mentors would be most effective. ",Yes it is fair,,The process simply uses data to determine where mentors would be most useful without a single person's bias being put into play.,Extremely fair,"The process should be opt in from the parents themselves, due to the amount of information required.",29,4-year college degree,Male,,I do not have children,Slightly liberal,78726,16190,larger budget,more
2019-10-18 17:29:25,2019-10-18 17:36:21,IP Address,*******,100,415,True,2019-10-18 17:36:21,R_rcNIaM5KsBaYaxr,*******,*******,*******,*******,*******,*******,anonymous,EN,"I think it is a good approach but is lacking. I feel like the school staff should be able to come together and make the decisions, they have actually been in contact with the students and know them. It sorta lacks morals to not have human input.",No it is not fair,"I feel some students will be over looked if they are above income guides or live to close. ",,Somewhat unfair,I feel like that they should have a lot of input. It's there children and they know what they need and don't.,41,High school diploma or GED,Female,,I have children and at least one is school-aged (3-18),"Moderate, Middle of road",28753,12091,larger budget,more
2019-10-18 17:31:56,2019-10-18 17:36:29,IP Address,*******,100,273,True,2019-10-18 17:36:30,R_1hDVppABxiIrYtr,*******,*******,*******,*******,*******,*******,anonymous,EN,It's an automated assessment program to figure out who needs the mentor the most.,No it is not fair,"It seems arbitrary, how good is the model and what's it based on.",,Somewhat unfair,"The parents seem like they would miss out as part of an unknown process on who gets the mentor, I would think at least they get to opt in or opt out of the mentor.",39,Graduate or professional school,Male,,I have children and at least one is school-aged (3-18),"Moderate, Middle of road",78230,15942,smaller budget,less
2019-10-18 17:31:47,2019-10-18 17:36:49,IP Address,*******,100,302,True,2019-10-18 17:36:49,R_1LNCFcdJ2Lp2Nho,*******,*******,*******,*******,*******,*******,anonymous,EN,this would be very fair and there would be now way for any type of bias to affect who gets the help of the mentors.,Yes it is fair,,"there would be no way for the program to know any of the things that people are biased towards, they are not factors in the choices",Extremely fair,"they should not have any, that would defeat the purpose of the algorithm",41,High school diploma or GED,Male,,I do not have children,Liberal,45238,14594,larger budget,more
2019-10-18 17:31:49,2019-10-18 17:36:51,IP Address,*******,100,302,True,2019-10-18 17:36:52,R_2ZVL5CslJCphO5g,*******,*******,*******,*******,*******,*******,anonymous,EN,"The school counselor would use all the data about the student such as their past attendance, family income and  other factors to determine whether the student should be able to attend that school or perhaps receive better education.",Yes it is fair,,"It is fair because the school shouldn't just accept any student. For example, if a student's attendance was poor in the past, then the same may happen in the future .",Somewhat fair,I think the parents should be able to decide whether or not they want their children to attend the school if they do choose to use the predictive model.,18,High school diploma or GED,Male,,I do not have children,"Moderate, Middle of road",11204,10349,larger budget,more
2019-10-18 17:33:41,2019-10-18 17:36:51,IP Address,*******,100,190,True,2019-10-18 17:36:52,R_3MMwa9oqqK6Z0vO,*******,*******,*******,*******,*******,*******,anonymous,EN,"It would help to distinguish between students that need mentors. ",Yes it is fair,,"It will point out which student will most likely need help. ",Neither fair nor unfair,"If a school district implements this type of model i think parents should also have the right to ask for mentors for their child if the model does not choose them as needing help. ",28,4-year college degree,Female,,I do not have children,Liberal,91335,16167,larger budget,more
2019-10-18 17:33:00,2019-10-18 17:36:57,IP Address,*******,100,237,True,2019-10-18 17:36:57,R_3QMeR7ik8EgRi1n,*******,*******,*******,*******,*******,*******,anonymous,EN,It means a software will be making human based decisions about which students most deserve mentors.,No it is not fair,"It can be a delicate thing, humans need to make decisions in cases where human information is pertinent. Each individual child's learning preferences need to be considered in this case.",,Extremely unfair,Whether or not they think their child need a particular amount of guidance in their studies.,21,High school diploma or GED,Male,,I do not have children,Slightly liberal,48854,11283,smaller budget,less
2019-10-18 17:31:43,2019-10-18 17:36:59,IP Address,*******,100,316,True,2019-10-18 17:37:00,R_1diy8MnK1PnOSGV,*******,*******,*******,*******,*******,*******,anonymous,EN,The school would run data through an algorithm that they created to pick which students would get mentors to help ensure they stay in school. That way the students who need it the most are the ones getting mentors.,Yes it is fair,,It helps determine which students need it the most. Especially if it biases actual attendance over the other factors of data.,Extremely fair,Parents should be able to opt their child out of it if they want to. But it should also be discouraged especially if their child has frequently missed school.,22,4-year college degree,Male,,I do not have children,Slightly conservative,70582,17629,smaller budget,less
2019-10-18 17:33:10,2019-10-18 17:37:01,IP Address,*******,100,230,True,2019-10-18 17:37:01,R_1GKeXSbJKQHAW8d,*******,*******,*******,*******,*******,*******,anonymous,EN,"The school counselor would use data based on past attendance, parent's income & how far students live from school to predict if they will miss school. Then provide mentors for those students. ",No it is not fair,"I think it might show bias to students & those who need help might not get it because they don't fall into the catergores the predictive model is looking at. ",,Somewhat unfair,"Parents should be able to advocate for their students & provide more insight as to why they may be missing school. ",32,Some college or 2-year college,Female,,I do not have children,Extremely liberal,85234,16227,smaller budget,less
2019-10-18 17:30:18,2019-10-18 17:37:27,IP Address,*******,100,429,True,2019-10-18 17:37:27,R_cGZiSgUjSnaWnFD,*******,*******,*******,*******,*******,*******,anonymous,EN,"Using a predictive model means the model/algorithm will synthesize the input data about the students (past attendance, parents' income etc.) and will predict according to some formula which students will miss school and hence will be best served by mentors. The school counselor will not have to make these decisions by hand.",Yes it is fair,,"It is more fair to use a predictive model than for a human to make the decision. A model can consider much more information at once and can weigh a huge number of factors, leading to a more balanced decision. A human can only consider so much information and will rely on biases and heuristics to make decisions.",Somewhat fair,Parents should be allowed to voice their concerns but should not be able to make the final decision about whether the model is used. Parents lack understanding of how the model works and how effective it could potentially be.,26,Graduate or professional school,Male,,I do not have children,Liberal,98006,19155,smaller budget,less
2019-10-18 17:30:23,2019-10-18 17:37:32,IP Address,*******,100,428,True,2019-10-18 17:37:32,R_1DTimljv6LVgZFR,*******,*******,*******,*******,*******,*******,anonymous,EN,"The school counselor would utilize data from a computer program that predicts which students are more likely to miss classes in the future. Those students selected by the predictive model would then be matched with mentors. ",Yes it is fair,,"Because it is based on objective data. ",Extremely fair,"I don't think the parents should have any input. ",36,4-year college degree,Male,,I do not have children,Slightly liberal,89121,17259,larger budget,more
2019-10-18 17:31:56,2019-10-18 17:38:03,IP Address,*******,100,367,True,2019-10-18 17:38:04,R_PFfpb8vlNwhFn21,*******,*******,*******,*******,*******,*******,anonymous,EN,"I'm not entirely sure how their parents' income plays into that formulaic decision? There's going to be biases based on that data, but I'm not sure if they would be mostly accurate or not based on the information I have.",No it is not fair,Just because of the biases that would be indicated by possibly irrelevant variables.,,Neither fair nor unfair,"I don't really know. I feel like parents would want to see their kids getting the help they need, but there is such a broad spectrum of differences in parenting that it seems like yet another variable.",28,Some college or 2-year college,Female,,I do not have children,Extremely liberal,38572,16195,larger budget,more
2019-10-18 17:34:45,2019-10-18 17:38:10,IP Address,*******,100,204,True,2019-10-18 17:38:10,R_3GBThKWORHNlk42,*******,*******,*******,*******,*******,*******,anonymous,EN,"I first got exposure to statistics and data in school – I have a bachelor’s degree in Economics and a master’s degree in Econometrics from the University of Belgrade. After graduation, I landed a statistician job with The Nielsen Company, the marketing research consultancy, which taught me everything I know about data analysis, data cleaning, exploring data, and building predictive models",Yes it is fair,,"I first got exposure to statistics and data in school – I have a bachelor’s degree in Economics and a master’s degree in Econometrics from the University of Belgrade. After graduation, I landed a statistician job with The Nielsen Company, the marketing research consultancy, which taught me everything I know about data analysis, data cleaning, exploring data, and building predictive models",Neither fair nor unfair,I first got exposure to statistics and data in school – I have a bachelor’s degree in  models,42,Some college or 2-year college,Male,,I have children but none are school age (they're younger than 3 or older than 18),Liberal,30238,18015,smaller budget,less
2019-10-18 17:36:14,2019-10-18 17:38:47,IP Address,*******,100,152,True,2019-10-18 17:38:47,R_2dTkFwrzwk2Wc3u,*******,*******,*******,*******,*******,*******,anonymous,EN,the counselor would use a computer to choose which students need a mentor,Yes it is fair,,because it would be unbiased,Extremely fair,the parents should be made aware of what is going on,46,Some college or 2-year college,Female,,I do not have children,Conservative,73110,16280,larger budget,more
2019-10-18 17:30:07,2019-10-18 17:38:57,IP Address,*******,100,530,True,2019-10-18 17:38:58,R_3HZ8s4qH4Do1AWw,*******,*******,*******,*******,*******,*******,anonymous,EN,"IA predictive model is an algorithm that uses provided data about the student to determine which students will need the tutor more, since they are more likely miss the school.",Yes it is fair,,"It will simply base on facts about students and will calculate more less correctly the result, besides the certain bias will be avoided.",Somewhat fair,Parents should be actively involved and present all needed documents about their income and address.,41,4-year college degree,Female,,I have children and at least one is school-aged (3-18),Conservative,45314,10100,smaller budget,less
2019-10-18 17:33:38,2019-10-18 17:39:28,IP Address,*******,100,350,True,2019-10-18 17:39:28,R_Q9Au2t9mFvWHKBb,*******,*******,*******,*******,*******,*******,anonymous,EN,the counselor will use a variety of data points to predict for whom the mentors would provide the most benefit,Yes it is fair,,"Rather, I don't think the idea is particularly unfair. Ideally, it would use the same data points for all students, plus it may get rid of inherent biases in the couselor",Neither fair nor unfair,"Largely, parents all want the best for their kids at the expense of other students. They are the most painful part of teaching. Their input should be cursory at best--a facade of input acceptance.",30,Graduate or professional school,Female,,I do not have children,Extremely liberal,27807,12031,smaller budget,less
2019-10-18 17:30:15,2019-10-18 17:39:38,IP Address,*******,100,563,True,2019-10-18 17:39:39,R_24kFw9vHQafOC7Q,*******,*******,*******,*******,*******,*******,anonymous,EN,It means that the school counselor would entirely use a computer to decide which students get a mentor instead of deciding without the use of technology.,No it is not fair,"I think the predictive model could be extremely unfair because I am thinking of my own experiences in school. I suffered from untreated depression that caused me to become truant at school. There's no way the predictive model could take into consideration the mental states of the students, and I know from experience mental health can play a big part in this situation.",,Extremely unfair,"I think parents should be able to have a lot of input about whether the district switches to using the predictive model, as this issue is majorly concerning their children.",49,High school diploma or GED,Male,,I have children and at least one is school-aged (3-18),Conservative,45331,15996,larger budget,more
2019-10-18 17:32:56,2019-10-18 17:39:49,IP Address,*******,100,412,True,2019-10-18 17:39:49,R_3dSAIGaiz3CSnmb,*******,*******,*******,*******,*******,*******,anonymous,EN,"The predictive model will be used to determine which students should be given counseling.  The goal would be to minimize school skipping. ",Yes it is fair,,"While every student deserves attention, there are some students that are a better use of resources.  ",Somewhat fair,"Parents should be required to take a test.  The highest scoring parents have children that probably do not need counseling. The test should be about children rearing and the importance of education. ",47,Graduate or professional school,Male,,I do not have children,Slightly conservative,48124,14406,larger budget,more
2019-10-18 17:30:54,2019-10-18 17:40:07,IP Address,*******,100,552,True,2019-10-18 17:40:07,R_V1GuNCsTRAu4HzX,*******,*******,*******,*******,*******,*******,anonymous,EN,"Perhaps the data they collect predicts which students may have a tendency to get in trouble at school or if their grades are subpar they may need a counselor to mentor them. Depending on home life a student may need a mentor to help if their life at home is troubling as well. ",Yes it is fair,,"There should be an eye test to go along with the predictive model as well to ensure the kids who need the most help get it. If the predictive model has a good formula then that should help determine which students need help as long as interactions between these students and faculty at the school. ",Neither fair nor unfair,"Maybe if a parent thinks their child needs a mentor they should have an opportunity even if they don't need one according to the predictive model. ",30,Some college or 2-year college,Male,,I have children and at least one is school-aged (3-18),Slightly conservative,25414,16457,larger budget,more
2019-10-18 17:36:36,2019-10-18 17:40:14,IP Address,*******,100,218,True,2019-10-18 17:40:14,R_295LDdQzRoR0ssp,*******,*******,*******,*******,*******,*******,anonymous,EN,"The school counselor will use a predictive model to help choose which students to assign mentors to, this would hopefully streamline the process and make it much quicker than going through the students 1 by 1 and trying to narrow it down personally.",Yes it is fair,,"Prediction model AI has been vastly improving, I think it's a worthy solution to this issue.  The only hold back would be possibly not having enough data to get really accurate results so early.  However with more and more data added, the results should be accurate enough to be worth the time/cost penalty.",Extremely fair,"I think the parents should have their voices heard, but I'm not sure they would have enough qualification in the AI sector to actually have a weighted opinion.  No matter what the choice is, people are going to voice their opinions right or wrong.",31,Some college or 2-year college,Male,,I have children and at least one is school-aged (3-18),"Moderate, Middle of road",64628,16195,smaller budget,less
2019-10-18 17:34:33,2019-10-18 17:40:15,IP Address,*******,100,342,True,2019-10-18 17:40:15,R_6eOuJ7M2Etmz2rD,*******,*******,*******,*******,*******,*******,anonymous,EN,"It means that no human would be involved in the final decision, or allocation of resources per student.  I would think that there would need to be more factors included, like suspensions, disciplinary issues, etc. to get a more accurate picture.",No it is not fair,"It's just cut and dried numbers, which don't always tell the whole picture.  There are probably kids who do need a mentor that would need it more personality-wise that don't fall into the criteria that the other kids who were chosen would be.  It would be impossible for all of the needed variables to be considered to get a true picture of how to determine need.",,Somewhat unfair,"Parents should have a meeting with the school to decide whether they are ok with it or not, and it should be put to a vote.  If the parents vote overwhelmingly one way or the other, that should help balance out the decision.",41,Some college or 2-year college,Female,,I do not have children,Liberal,78759,15456,larger budget,more
2019-10-18 17:34:59,2019-10-18 17:40:38,IP Address,*******,100,338,True,2019-10-18 17:40:38,R_OOU7fZf2q8ha5W1,*******,*******,*******,*******,*******,*******,anonymous,EN,"to choose which child needs the most help from a mentors, and who can afford them. ",Yes it is fair,,The children who will receive the help are those from poor family and live far from townm with failing grades who would not get the help otherwise,Somewhat fair,"They want to make sure those that need it most recive the help first, and are trying to do it fairly",30,High school diploma or GED,Female,,I have children and at least one is school-aged (3-18),Conservative,47001,16326,larger budget,more
2019-10-18 17:37:37,2019-10-18 17:40:40,IP Address,*******,100,182,True,2019-10-18 17:40:40,R_1IotsLgp9ddu1HQ,*******,*******,*******,*******,*******,*******,anonymous,EN,It means that they will use a computerized system to consider a variety of factors to determine who is at the highest risk and in most desperate need of intervention.,Yes it is fair,,"It considers quite a few important factors. It could miss special cases, though.",Somewhat fair,The parents should be given an open forum meeting.,30,4-year college degree,Female,,I do not have children,Slightly liberal,85255,15141,larger budget,more
2019-10-18 17:30:46,2019-10-18 17:40:50,IP Address,*******,100,603,True,2019-10-18 17:40:50,R_3HtudZ5TDndc4YW,*******,*******,*******,*******,*******,*******,anonymous,EN,THIS WILL MAKE IT EASIER ON THE SCHOOL COUNSELOR. THE INFORMATION RECEIVED WILL BE ACCURATE AND WILL SAVE A LOT OF TIME.,Yes it is fair,,THERE WILL BE NO CHANCE OF FAVORTICISM AND EVERYONE WILL FEEL THAT THEY WERE EQUALLY TREATED.,Extremely fair,THEY SHOULD  SUPPORT THE COUNSELOR TO KNOW WHAT IS BEST AND NOT CAUSE ANY PROBLEMS. dIVE HER THE HELP SHE NEEDS.,44,Some college or 2-year college,Female,,I have children and at least one is school-aged (3-18),Liberal,27613,10510,larger budget,more
