StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q134,method_fair,Q132,Q131,Q127,Q129,Q135,age,Q136,Q137,Q137_3_TEXT,Q138,Q139,Q140,MTurkCode,nonalg_method,budget,money,nonalg_method_present
2019-08-19 17:52:33,2019-08-19 17:52:33,Survey Test,*******,100,0,True,2019-08-19 17:52:33,R_bvYJjugCqsS6vtz,*******,*******,*******,*******,*******,*******,test,,Integer ab euismod vitae sed consequat. Nec. Atque ut risus in fringilla metus.,school counselor using a predictive model/algorithm,"Sapien, consequat. Leo! Ultrices consectetuer. Primis ultricies laoreet aliquet sed tincidunt faucibus posuere.","No, students who deserve mentors will still not get them",Neither fair nor unfair,Extremely unfair,"Porttitor diam nulla? Euismod, potenti! Auctor volutpat sapien leo est nec luctus molestie natoque. Volutpat.",95,Some college or 2-year college,Male,,I have children but none are school age (they're younger than 3 or older than 18),Extremely liberal,,,used his judgment,smaller budget,less,using his judgment
2019-08-19 17:52:33,2019-08-19 17:52:33,Survey Test,*******,100,0,True,2019-08-19 17:52:33,R_cu1GApmIjaJRLa5,*******,*******,*******,*******,*******,*******,test,,"Sapien. Eget sagittis iaculis elit tellus per cras scelerisque, cursus ab auctor metus sed. Sollicitudin.",school counselor using a predictive model/algorithm,Viverra vitae? Iaculis diam aenean mauris mattis. Ac nulla augue? Elit donec tempora rhoncus.,"Yes, students who deserve mentors will get them",Somewhat fair,Neither fair nor unfair,Felis lorem auctor tempora sed ipsum quam molestie sagittis. Arcu phasellus proin tellus morbi.,25,Some college or 2-year college,Female,,I have children and at least one is school-aged (3-18),"Moderate, Middle of road",,,used an income cutoff,smaller budget,less,using an income cutoff
2019-08-19 17:52:33,2019-08-19 17:52:33,Survey Test,*******,100,0,True,2019-08-19 17:52:33,R_4Gxnhgg22TqjVdz,*******,*******,*******,*******,*******,*******,test,,Mi integer ridiculus. Elit! Platea lorem aliquam luctus ligula cursus euismod. At.,school counselor ${e://Field/nonalg_method_present},"Cras nonummy malesuada. Tortor montes. Phasellus commodo sed tincidunt, aenean ante id.","No, students who deserve mentors will still not get them",Extremely fair,Somewhat unfair,Massa vitae cras lacus aenean consectetuer magna pretium culpa? Per volutpat vehicula.,31,Some high school or less,Male,,I do not have children,"Moderate, Middle of road",,,used parents' requests for a mentor for their child,smaller budget,less,using parents' requests for a mentor for their child
2019-08-19 17:52:33,2019-08-19 17:52:33,Survey Test,*******,100,0,True,2019-08-19 17:52:33,R_1BW9gPEarrNMhzD,*******,*******,*******,*******,*******,*******,test,,Fringilla mi ante duis? Augue ipsum? Quis est? A ab.,school counselor ${e://Field/nonalg_method_present},Ipsum pede ab. Molestie. Commodo. Urna turpis amet mauris placerat gravida a. Massa massa nec.,"Yes, students who deserve mentors will get them",Somewhat fair,Extremely fair,Vulputate duis. Est rutrum. Sit nulla tortor! Tincidunt montes in augue dolorem.,39,Some high school or less,Male,,I have children and at least one is school-aged (3-18),Conservative,,,drawn students’ names randomly,smaller budget,less,drawing students' names randomly
2019-08-19 17:52:33,2019-08-19 17:52:33,Survey Test,*******,100,0,True,2019-08-19 17:52:33,R_bEf7P0D5RhFCluZ,*******,*******,*******,*******,*******,*******,test,,Orci. Lectus. Dolor eros tempora quam ullamcorper lacus et pede aenean potenti felis. Volutpat.,school counselor ${e://Field/nonalg_method_present},Atque ultrices dictumst auctor ante scelerisque potenti vitae dolor velit fusce.,"No, students who deserve mentors will still not get them",Extremely unfair,Somewhat fair,Tellus dui aliquet augue sagittis dolor atque iaculis montes ultricies? Amet. Eu ultricies egestas. A.,8,4-year college degree,Male,,I do not have children,Extremely Conservative,,,used his judgment,smaller budget,less,using his judgment
2019-08-19 17:52:33,2019-08-19 17:52:33,Survey Test,*******,100,0,True,2019-08-19 17:52:34,R_07VVbUfXXEwAlXn,*******,*******,*******,*******,*******,*******,test,,Gravida in placerat ultrices gravida imperdiet? Vehicula ab accusamus scelerisque commodo mi quis malesuada? Ab.,school counselor using a predictive model/algorithm,"Etiam? Praesent morbi, sem. Magnis magna gravida morbi lorem odio lorem nibh lectus aliquet.","Yes, students who deserve mentors will get them",Extremely unfair,Somewhat fair,"Lacus euismod dignissim per tempora sollicitudin. At suscipit, mauris ridiculus, amet ipsum elementum massa auctor.",24,4-year college degree,Female,,I have children but none are school age (they're younger than 3 or older than 18),Slightly liberal,,,used parents' requests for a mentor for their child,smaller budget,less,using parents' requests for a mentor for their child
2019-08-19 17:52:34,2019-08-19 17:52:34,Survey Test,*******,100,0,True,2019-08-19 17:52:34,R_0O3BgROURNfhGjb,*******,*******,*******,*******,*******,*******,test,,Potenti platea tempor porta praesent nec fringilla? Cras vehicula cursus. Magnis auctor tempor. Suspendisse.,school counselor ${e://Field/nonalg_method_present},"Risus, ullamcorper rutrum venenatis sagittis tempora elit at volutpat id.","Yes, students who deserve mentors will get them",Somewhat fair,Extremely fair,"Neque eleifend pharetra aliquet bibendum! Felis, fermentum amet ante. Sed. Proin. Lacus diam.",10,High school diploma or GED,Female,,I do not have children,Extremely liberal,,,used an income cutoff,smaller budget,less,using an income cutoff
2019-08-19 17:52:34,2019-08-19 17:52:34,Survey Test,*******,100,0,True,2019-08-19 17:52:34,R_2lPs3kBNjcTqo4t,*******,*******,*******,*******,*******,*******,test,,"Rutrum culpa pede sollicitudin ac? Accusamus pretium phasellus fringilla, morbi malesuada posuere placerat tortor purus.",school counselor ${e://Field/nonalg_method_present},"Eros in. Eu magnis, massa. Aliquam nullam fringilla tempor a, dignissim.","No, students who deserve mentors will still not get them",Extremely fair,Somewhat fair,"Bibendum eros non! Interdum felis primis felis nibh tempora. Interdum amet, a a dolor suspendisse.",6,Some college or 2-year college,Other (please specify),"Tellus et facilisis per tellus nunc velit, pharetra quam luctus id accusamus est primis! Dui.",I have children and at least one is school-aged (3-18),Slightly liberal,,,drawn students’ names randomly,smaller budget,less,drawing students' names randomly
2019-08-19 17:52:34,2019-08-19 17:52:34,Survey Test,*******,100,0,True,2019-08-19 17:52:34,R_09eXpMkPN1jsM8R,*******,*******,*******,*******,*******,*******,test,,"Cras orci nullam vitae ipsum orci id facilisis a, venenatis mi massa porttitor egestas.",school counselor ${e://Field/nonalg_method_present},"Vivamus dictumst at eget montes, erat. Volutpat amet praesent? A eleifend.","Yes, students who deserve mentors will get them",Somewhat fair,Somewhat fair,Ante pretium eget dictumst culpa proin? Eu urna dignissim? Risus sit laoreet molestie.,31,Some college or 2-year college,Female,,I have children and at least one is school-aged (3-18),Slightly conservative,,,used his judgment,smaller budget,less,using his judgment
2019-08-19 17:52:34,2019-08-19 17:52:34,Survey Test,*******,100,0,True,2019-08-19 17:52:34,R_9EOifJUJ51zhYLX,*******,*******,*******,*******,*******,*******,test,,"Nulla vulputate, tempus ultrices atque eros erat molestie eget, eros scelerisque risus morbi consectetuer nunc.",school counselor using a predictive model/algorithm,Arcu montes accumsan? Lorem integer. Sed. Wisi ultricies integer eros pede turpis elit facilisis.,"Yes, students who deserve mentors will get them",Somewhat unfair,Neither fair nor unfair,"Erat ante donec magnis sapien, ullamcorper mi cursus elementum culpa.",58,Some college or 2-year college,Female,,I have children but none are school age (they're younger than 3 or older than 18),Slightly liberal,,,used parents' requests for a mentor for their child,smaller budget,less,using parents' requests for a mentor for their child
2019-08-19 17:52:34,2019-08-19 17:52:34,Survey Test,*******,100,0,True,2019-08-19 17:52:34,R_cYkuVah6wDdv0fX,*******,*******,*******,*******,*******,*******,test,,Diam iaculis. Accusamus blandit vel facilisis diam? Ac vivamus nibh erat? Nonummy. Suscipit duis ultricies.,school counselor using a predictive model/algorithm,Phasellus atque in duis rutrum per maecenas? Morbi? Placerat. Fermentum dapibus nibh consequat.,"Yes, students who deserve mentors will get them",Neither fair nor unfair,Extremely unfair,Ipsum leo turpis praesent commodo nec blandit quam donec mattis.,52,Some high school or less,Other (please specify),"In. Dictumst. Vivamus, pellentesque dictumst amet, natoque felis enim proin enim dignissim dapibus ridiculus.",I have children and at least one is school-aged (3-18),"Moderate, Middle of road",,,drawn students’ names randomly,smaller budget,less,drawing students' names randomly
2019-08-19 17:52:35,2019-08-19 17:52:35,Survey Test,*******,100,0,True,2019-08-19 17:52:35,R_bNj6hwB57V9u5gx,*******,*******,*******,*******,*******,*******,test,,"Orci proin eros temporibus duis sit donec, vehicula potenti mi commodo tempus.",school counselor ${e://Field/nonalg_method_present},"Ut! Facilisis nec ipsum, justo faucibus a! Eleifend imperdiet vulputate. Ab! Risus ipsum.","Yes, students who deserve mentors will get them",Extremely fair,Somewhat unfair,Placerat etiam tortor pellentesque eu enim. Ut pellentesque dapibus! Aliquet aenean at fusce sapien.,28,Some high school or less,Other (please specify),"Odio ipsum blandit vulputate metus porttitor egestas orci auctor, per iaculis aenean diam.",I have children and at least one is school-aged (3-18),"Moderate, Middle of road",,,used an income cutoff,smaller budget,less,using an income cutoff
2019-08-19 17:52:35,2019-08-19 17:52:35,Survey Test,*******,100,0,True,2019-08-19 17:52:35,R_ensZtqinQBzLwjz,*******,*******,*******,*******,*******,*******,test,,Aliquam nunc in! Mattis. Rutrum facilisis ultrices! Lorem eros sapien. Eros magna. Atque.,school counselor using a predictive model/algorithm,Quis elementum sem nonummy donec purus pellentesque nullam velit venenatis et tempor auctor posuere.,"Yes, students who deserve mentors will get them",Extremely unfair,Extremely fair,"Est aenean volutpat, dui potenti ullamcorper curabitur maecenas pharetra ab purus.",52,4-year college degree,Other (please specify),Integer volutpat faucibus a felis? Cursus. Ac eros diam interdum vivamus. Amet ab mi.,I do not have children,Slightly conservative,,,used an income cutoff,smaller budget,less,using an income cutoff
2019-08-19 17:52:35,2019-08-19 17:52:35,Survey Test,*******,100,0,True,2019-08-19 17:52:35,R_5BWRLYAIObaxmw5,*******,*******,*******,*******,*******,*******,test,,"Porta orci? Natoque. Interdum potenti eu. Ultrices proin ab amet dui duis, cursus.",school counselor ${e://Field/nonalg_method_present},Morbi at. Scelerisque! Commodo tincidunt vivamus auctor ac maecenas nec! Tempus.,"Yes, students who deserve mentors will get them",Somewhat fair,Somewhat unfair,"Rhoncus. Vivamus cras, accumsan proin iaculis lectus porta per fermentum gravida neque.",37,Graduate or professional school,Female,,I have children but none are school age (they're younger than 3 or older than 18),Liberal,,,used parents' requests for a mentor for their child,smaller budget,less,using parents' requests for a mentor for their child
2019-08-19 17:52:35,2019-08-19 17:52:35,Survey Test,*******,100,0,True,2019-08-19 17:52:35,R_8Hvgxcq24PMi1bn,*******,*******,*******,*******,*******,*******,test,,Ab? Accusamus sollicitudin euismod ante risus arcu wisi quis turpis mauris vitae morbi dolor.,school counselor using a predictive model/algorithm,Egestas? Eleifend diam. Dignissim tempora non quam natoque nonummy sollicitudin facilisis.,"Yes, students who deserve mentors will get them",Extremely fair,Somewhat unfair,Ab cursus nec porttitor suspendisse etiam. Rhoncus? Vehicula gravida potenti.,21,Some high school or less,Female,,I have children but none are school age (they're younger than 3 or older than 18),Slightly liberal,,,used his judgment,larger budget,more,using his judgment
2019-08-19 17:52:35,2019-08-19 17:52:35,Survey Test,*******,100,0,True,2019-08-19 17:52:35,R_6Ed6pn6HgVlIYU5,*******,*******,*******,*******,*******,*******,test,,Dui natoque eu! Cursus imperdiet vitae eget sollicitudin volutpat faucibus.,school counselor ${e://Field/nonalg_method_present},Aenean a maecenas interdum dictumst luctus porta. Vitae. Vivamus turpis nibh pede fusce.,"No, students who deserve mentors will still not get them",Extremely fair,Somewhat unfair,Neque. Eros sem malesuada. Ante interdum praesent urna accusamus volutpat odio luctus.,91,4-year college degree,Female,,I have children but none are school age (they're younger than 3 or older than 18),"Moderate, Middle of road",,,drawn students’ names randomly,smaller budget,less,drawing students' names randomly
2019-08-19 17:52:35,2019-08-19 17:52:35,Survey Test,*******,100,0,True,2019-08-19 17:52:36,R_8A2TTtaehvQLl9H,*******,*******,*******,*******,*******,*******,test,,"Suscipit eget temporibus. Rhoncus iaculis velit, accusamus consectetuer bibendum, aliquet ante id.",school counselor ${e://Field/nonalg_method_present},Pretium est suspendisse. Blandit integer venenatis placerat. Blandit cursus? Culpa diam.,"Yes, students who deserve mentors will get them",Somewhat fair,Extremely unfair,Venenatis eu ac ridiculus curabitur sapien erat in mattis posuere natoque. Tortor mi.,64,Graduate or professional school,Female,,I do not have children,Extremely liberal,,,used his judgment,smaller budget,less,using his judgment
2019-08-19 17:52:36,2019-08-19 17:52:36,Survey Test,*******,100,0,True,2019-08-19 17:52:36,R_d5BjPDNzHmuphkx,*******,*******,*******,*******,*******,*******,test,,Aliquam ab id quam dui leo accumsan egestas ridiculus porttitor suscipit eu. Lectus amet.,school counselor using a predictive model/algorithm,"Pretium praesent dolorem eleifend commodo massa praesent. Phasellus, tempus est neque sit? A.","No, students who deserve mentors will still not get them",Extremely unfair,Extremely fair,Arcu. Suspendisse praesent nulla dolor lorem? Ultricies aenean nunc accumsan ipsum commodo sit. Lectus.,50,Graduate or professional school,Male,,I have children and at least one is school-aged (3-18),Extremely Conservative,,,used an income cutoff,larger budget,more,using an income cutoff
2019-08-19 17:52:36,2019-08-19 17:52:36,Survey Test,*******,100,0,True,2019-08-19 17:52:36,R_erqsYjeleurf2OV,*******,*******,*******,*******,*******,*******,test,,Dolor. Scelerisque vitae. Cursus eget mauris quam nullam rutrum per pharetra viverra.,school counselor using a predictive model/algorithm,Porta risus mi fermentum imperdiet vel orci! Ab maecenas praesent nunc! Facilisis porta.,"No, students who deserve mentors will still not get them",Neither fair nor unfair,Somewhat unfair,"Non? Viverra wisi? Suscipit tortor dolor accusamus, rutrum nec placerat neque sodales.",8,Graduate or professional school,Female,,I have children and at least one is school-aged (3-18),Slightly conservative,,,used his judgment,larger budget,more,using his judgment
2019-08-19 17:52:36,2019-08-19 17:52:36,Survey Test,*******,100,0,True,2019-08-19 17:52:36,R_emrHwNsF7ldYso5,*******,*******,*******,*******,*******,*******,test,,Vestibulum amet malesuada rhoncus elit bibendum dolor convallis ultrices neque.,school counselor using a predictive model/algorithm,Ultricies donec tortor volutpat sed proin. Vulputate nec donec elit laoreet curabitur! Justo interdum metus.,"No, students who deserve mentors will still not get them",Extremely unfair,Extremely fair,"Id nullam curabitur, massa. Aliquet rhoncus temporibus quam mi at culpa! Dolorem tempus sollicitudin.",26,Some college or 2-year college,Other (please specify),"Etiam cursus. Eu justo leo quis lacus, sollicitudin a tempor.",I do not have children,Slightly liberal,,,drawn students’ names randomly,smaller budget,less,drawing students' names randomly
2019-08-19 17:52:36,2019-08-19 17:52:36,Survey Test,*******,100,0,True,2019-08-19 17:52:36,R_8rdNAqcSxupWYDP,*******,*******,*******,*******,*******,*******,test,,"Auctor imperdiet. Etiam pharetra euismod proin vehicula auctor porttitor id velit montes, rutrum nec dictumst.",school counselor using a predictive model/algorithm,Ipsum pharetra ultricies iaculis suscipit metus sed ut integer temporibus.,"Yes, students who deserve mentors will get them",Neither fair nor unfair,Extremely fair,Mauris lacus phasellus ab facilisis risus mattis imperdiet. Nonummy platea tellus nulla primis dui.,36,4-year college degree,Other (please specify),"Orci rutrum eros temporibus lorem mattis vehicula tortor neque morbi? Ut, ligula. Sagittis temporibus augue.",I do not have children,Slightly liberal,,,used parents' requests for a mentor for their child,larger budget,more,using parents' requests for a mentor for their child
2019-08-19 17:52:36,2019-08-19 17:52:36,Survey Test,*******,100,0,True,2019-08-19 17:52:36,R_4YlJ9BqbNdTKEgR,*******,*******,*******,*******,*******,*******,test,,Ab in integer viverra posuere posuere massa potenti per culpa? Urna quam felis.,school counselor ${e://Field/nonalg_method_present},Mauris curabitur. Magnis convallis justo? Primis. Ligula dolor sem elementum? Tempor.,"No, students who deserve mentors will still not get them",Somewhat unfair,Somewhat fair,"Quis nibh. Viverra phasellus enim potenti laoreet dolorem, commodo tellus eros volutpat.",50,4-year college degree,Male,,I have children and at least one is school-aged (3-18),"Moderate, Middle of road",,,used an income cutoff,smaller budget,less,using an income cutoff
2019-08-19 17:52:36,2019-08-19 17:52:36,Survey Test,*******,100,0,True,2019-08-19 17:52:37,R_8kUgwied5OBOGEZ,*******,*******,*******,*******,*******,*******,test,,"Elit consectetuer, ab tincidunt. Aenean bibendum ridiculus? Turpis cras augue fusce quis. Nulla. Cras ante.",school counselor using a predictive model/algorithm,Morbi nunc et eros leo ab ultricies posuere enim ante tempora.,"No, students who deserve mentors will still not get them",Extremely unfair,Somewhat fair,Imperdiet culpa. Velit blandit accusamus elit vivamus eget commodo rutrum? Vestibulum nec ultricies.,63,High school diploma or GED,Other (please specify),"Pharetra. Ipsum, molestie turpis metus consequat turpis, elementum potenti, a.",I have children but none are school age (they're younger than 3 or older than 18),"Moderate, Middle of road",,,used parents' requests for a mentor for their child,smaller budget,less,using parents' requests for a mentor for their child
2019-08-19 17:52:37,2019-08-19 17:52:37,Survey Test,*******,100,0,True,2019-08-19 17:52:37,R_br2sQmml2UDigQt,*******,*******,*******,*******,*******,*******,test,,Non convallis. In cursus iaculis tortor aliquam? Suspendisse? Accusamus dictumst culpa cursus.,school counselor using a predictive model/algorithm,Scelerisque! Quis dolorem quam odio! Elementum mi malesuada vehicula primis. Nulla.,"Yes, students who deserve mentors will get them",Extremely fair,Extremely unfair,"Lacus vestibulum. Blandit lectus urna erat. Natoque sagittis urna, nonummy ac! Pretium dictumst, dui.",1,High school diploma or GED,Female,,I have children and at least one is school-aged (3-18),Slightly liberal,,,used an income cutoff,larger budget,more,using an income cutoff
2019-08-19 17:52:37,2019-08-19 17:52:37,Survey Test,*******,100,0,True,2019-08-19 17:52:37,R_3krEPTwnyuzCB01,*******,*******,*******,*******,*******,*******,test,,"Integer malesuada, dignissim tempus tincidunt leo venenatis quis ac. Curabitur, vulputate. Luctus vivamus per sed.",school counselor using a predictive model/algorithm,Proin eu neque pharetra. Ipsum odio ab turpis tellus maecenas.,"Yes, students who deserve mentors will get them",Extremely fair,Extremely fair,Elementum! Eros. Phasellus tempora posuere donec sodales vitae blandit turpis vel potenti.,100,Some college or 2-year college,Other (please specify),Pede. Per non dapibus sodales vehicula sed. Diam platea volutpat augue! Ipsum.,I have children and at least one is school-aged (3-18),Liberal,,,drawn students’ names randomly,larger budget,more,drawing students' names randomly
